OBJECTID;Join_Count;TARGET_FID;fid_1;fid_12;ID_ebm;photo;date_suivi;position;obstruct_c;prov_bm;densite;comp_tronc;comp_branc;comp_racin;secteur;uuid;Complexe;Volume;Volume_Formule;longueur;largeur;hauteur;Volume_1;hauteur_2;longueur_2;largeur_2;Volume_2;hauteur_3;longueur_3;largeur_3;Volume_3;hauteur_4;longueur_4;largeur_4;Volume 4;hauteur_5;longueur_5;largeur_5;Volume_5;Equipe;Nb_boites;Typologie;Commentair;Commenta_1;Commenta_2;Commenta_3;largeur_A;largeur_B;largeur_C;largeur_D;largeur_E;largeur_F;largeur_2_;largeur__1;largeur__2;largeur__3;largeur__4;largeur__5;largeur_3_;largeur__6;largeur__7;largeur__8;largeur__9;largeur_10;largeur_4_;largeur_11;largeur_12;largeur_13;largeur_14;largeur_15;largeur_5_;largeur_16;largeur_17;largeur_18;largeur_19;largeur_20;layer;path;Id;Input_FID;Id_1;ORIG_FID;Id_12;lenght;type;annee;troncon;Distance
11;1;10;11;;;DCIM/rivrimouski_20240824111046.jpg;2024/08/24 10:04:48.958;"{""Bc""}";5;M;3;60;40;;"{""RG""}";{1369f187-060a-45c0-9025-d544c128ee21};Non;31.559;31,559;1510;190;110;31559000;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Simple;;;;;220;180;210;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
12;1;11;12;;;DCIM/rivrimouski_20240824111229.jpg;2024/08/24 10:04:48.958;"{""Bc""}";5;D;2;80;20;;"{""RG""}";{90e168ef-204e-4443-933a-5aec611474b8};Non;11.1;11,1;740;150;100;11100000;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Simple;;;;;150;110;190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
13;1;12;13;;;DCIM/rivrimouski_20240824111419.jpg;2024/08/24 10:04:48.958;"{""Bc""}";1;M;1;60;30;10;"{""RG""}";{3a41eb70-69b0-4d0e-8840-39d95d31e91d};Non;11.1;11,1;1200;185;50;11100000;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Simple;;;;;140;200;160;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
14;1;13;14;;;DCIM/rivrimouski_20240824111726.jpg;2024/08/24 10:04:48.958;"{""Bc""}";5;P;2;80;10;10;"{""RG""}";{fd7f9f72-a8b2-4c16-85ad-7c43b7c4a256};Non;6.06475;6,06475;1250;67,5;50;4218750;60;710;43,33333333;1846000;;;;0;;;;0;;;;0;MC sl lp;2;T;;;;;10;150;70;40;;;50;40;40;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
15;1;14;15;;;DCIM/rivrimouski_20240824112328.jpg;2024/08/24 10:04:48.958;"{""Bc""}";20;M;2;75;10;15;"{""RG""}";{dd3dda87-4f08-4569-bb7f-75aeb8716484};Non;51.0724166666667;51,07241667;1730;152,5;150;39573750;80;980;146,6666667;11498666,67;;;;0;;;;0;;;;0;MC sl lp;2;Y;;;;;40;170;270;130;;;160;90;190;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
16;1;15;16;;;DCIM/rivrimouski_20240824112634.jpg;2024/08/24 10:04:48.958;"{""Bc""}";10;M;1;80;15;5;"{""RG""}";{551e5c15-36c5-4574-946a-04a8d0a693c1};Non;9.436;9,436;790;170;40;5372000;40;1270;80;4064000;;;;0;;;;0;;;;0;MC sl lp;2;L;;;;;240;210;60;;;;200;30;20;70;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
17;1;16;17;;;DCIM/rivrimouski_20240824112813.jpg;2024/08/24 10:04:48.958;"{""Bc""}";5;D;3;20;80;;"{""RG""}";{b5d83387-b592-4aa1-a745-e0607fe06901};Non;7.332;7,332;390;313,3333333;60;7332000;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Simple;;;;;290;380;270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
18;1;17;18;;;DCIM/rivrimouski_20240824113039.jpg;2024/08/24 10:04:48.958;"{""Bc""}";5;M;2;60;40;;"{""RG""}";{bb524654-1cd8-403e-8779-d7e2cb6aa1f4};Non;21.6206666666667;21,62066667;820;376,6666667;70;21620666,67;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Simple;;;;;450;370;310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
19;1;18;19;;;DCIM/rivrimouski_20240824113233.jpg;2024/08/24 10:04:48.958;"{""Bc""}";5;M;3;50;50;;"{""RG""}";{2bd87d42-77ef-4e39-b1b2-94247711a9b0};Non;6.77666666666667;6,776666667;380;356,6666667;50;6776666,667;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Simple;;;;;410;370;290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
20;1;19;20;;;DCIM/rivrimouski_20240824113541.jpg;2024/08/24 10:04:48.958;"{""Bc""}";5;M;3;50;50;;"{""RG""}";{a58c0c98-2f03-40ef-89ba-e2dbb7574429};Non;13.854;13,854;220;290;90;5742000;40;520;390;8112000;;;;0;;;;0;;;;0;MC sl lp;2;Simple;;;;;380;300;190;;;;330;520;320;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
21;1;20;21;;;DCIM/rivrimouski_20240824114205.jpg;2024/08/24 10:04:48.958;"{""Bc""}";25;P;1;75;15;10;"{""RG""}";{45f489fd-f120-4996-a2f2-368feb9311e4};Non;128.616;128,616;1620;362,5;120;70470000;120;1170;220;30888000;70;990;393,3333333;27258000;;;;0;;;;0;MC sl lp;3;Discontinu;;;;;660;180;240;370;;;310;410;40;120;;;90;490;600;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
22;1;21;22;;;DCIM/rivrimouski_20240824114546.jpg;2024/08/24 10:04:48.958;"{""Bc""}";20;M;1;80;15;5;"{""RG""}";{dd6a894f-0f4e-417e-b210-9aa9c08afb5a};Non;62.98875;62,98875;1870;135;50;12622500;110;1650;277,5;50366250;;;;0;;;;0;;;;0;MC sl lp;2;Y;;;;;80;70;260;130;;;190;310;320;290;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
23;1;22;23;;;DCIM/rivrimouski_20240824114823.jpg;2024/08/24 10:04:48.958;"{""Bc""}";10;M;1;85;10;5;"{""RG""}";{5763e48c-cd51-46b7-bc41-1236429e52ed};Non;22.68;22,68;1200;210;90;22680000;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Simple;;;;;220;210;210;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
24;1;23;24;;;DCIM/rivrimouski_20240824115014.jpg;2024/08/24 10:04:48.958;"{""Bc""}";10;M;1;80;15;5;"{""RG""}";{62a06ef8-6801-4c0a-a413-24a02e1d3e20};Non;31.92;31,92;2280;175;80;31920000;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Simple;;;;;10;40;220;430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
25;1;24;25;;;;2024/08/24 10:04:48.958;"{""Bc""}";5;P;1;85;10;5;"{""RG""}";{f5f11049-31f8-471f-8afa-0710c540e9d2};Non;18.33;18,33;1880;195;50;18330000;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Simple;;;;;380;40;180;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
26;1;25;26;;;DCIM/rivrimouski_20240824115746.jpg;2024/08/24 10:04:48.958;"{""Bc""}";10;M;1;75;15;10;"{""RG""}";{044cf2bb-43d9-4307-82b2-40ab7c3ee747};Non;43.4112;43,4112;3040;238;60;43411200;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Simple;;;;;190;200;180;240;380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
27;1;26;27;;;DCIM/rivrimouski_20240824115958.jpg;2024/08/24 10:04:48.958;"{""Bc""}";5;M;1;85;10;5;"{""RG""}";{d2f24967-5b2f-4ef3-8d8d-8224236cff7e};Non;45.1388;45,1388;3290;196;70;45138800;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Simple;;;;;220;140;210;150;260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
28;1;27;28;;;DCIM/rivrimouski_20240824120155.jpg;2024/08/24 10:04:48.958;"{""Bc""}";5;M;1;85;10;5;"{""RG""}";{7f914e85-b618-4abe-ba24-a29a3e5a8c38};Non;13.16;13,16;2350;80;70;13160000;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Simple;;;;;40;90;130;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
29;1;28;29;;;DCIM/rivrimouski_20240824120523.jpg;2024/08/24 10:04:48.958;"{""Bc""}";10;D;2;80;15;5;"{""RG""}";{1f24d265-aa4f-481a-bb5f-9ad93e1f5e05};Non;3.712;3,712;120;143,3333333;40;688000;90;840;40;3024000;;;;0;;;;0;;;;0;MC sl lp;2;L;;;;;90;120;220;;;;80;30;10;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
30;1;29;30;;;DCIM/rivrimouski_20240824120825.jpg;2024/08/24 10:04:48.958;"{""Bc""}";5;D;2;75;25;;"{""RG""}";{35088609-67dd-445c-b506-cfe758d0b228};Non;18.1545;18,1545;1140;227,5;70;18154500;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Simple;;;;;180;260;240;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
31;1;30;31;;;DCIM/rivrimouski_20240824121542.jpg;2024/08/24 10:04:48.958;"{""Bc""}";10;P;1;75;15;10;"{""RG""}";{a6ad1c70-bd2d-4e76-82e9-fb95d5e18468};Non;16.35675;16,35675;1610;37,5;50;3018750;90;1140;130;13338000;;;;0;;;;0;;;;0;MC sl lp;2;T;;;;;50;40;40;20;;;160;160;100;100;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
32;1;31;32;;;DCIM/rivrimouski_20240824122550.jpg;2024/08/24 10:04:48.958;"{""Bc""}";25;M;1;75;5;20;"{""RG""}";{aeff80ad-0746-415e-9810-c81745803d1f};Non;48.58125;48,58125;1720;132,5;60;13674000;70;1830;272,5;34907250;;;;0;;;;0;;;;0;MC sl lp;2;Y;;;;;200;140;140;50;;;370;210;320;190;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
33;1;32;33;;;DCIM/rivrimouski_20240824122825.jpg;2024/08/24 10:04:48.958;"{""Bc""}";15;M;1;70;10;20;"{""RG""}";{3f31c2cf-94f8-4aec-ad6d-f8b12f48a020};Non;18.6325;18,6325;2570;72,5;100;18632500;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Simple;;;;;60;110;70;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
34;1;33;34;;;DCIM/rivrimouski_20240824123153.jpg;2024/08/24 10:04:48.958;"{""Bc""}";30;M;1;70;20;10;"{""RG""}";{2105fc02-9d33-4755-a6c6-e35f5bb8891f};Non;145.464;145,464;1140;1160;110;145464000;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Discontinu;;;;;1160;1160;1160;1160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
35;1;34;35;;;DCIM/rivrimouski_20240824123653.jpg;2024/08/24 10:04:48.958;"{""Bc""}";30;M;1;70;10;20;"{""RG""}";{2b1dfa94-9fe4-48a2-9c15-917cad7c8e20};Non;82.752;82,752;3680;164;100;60352000;120;1000;186,6666667;22400000;;;;0;;;;0;;;;0;MC sl lp;2;L;;;;;130;200;190;100;200;;190;110;260;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
36;1;35;36;;;DCIM/rivrimouski_20240824124108.jpg;2024/08/24 10:04:48.958;"{""Bc""}";30;M;1;60;25;15;"{""RG""}";{7d1cfda8-1948-4ebf-991e-44c1988179ba};Non;389.5165;389,5165;2640;680;120;215424000;70;2400;287,5;48300000;50;3400;86;14620000;150;2430;305;111172500;;;;0;MC sl lp;4;Discontinu;;;;;390;450;1510;370;;;290;330;420;110;;;40;100;100;80;110;;30;220;270;700;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
37;1;36;37;;;DCIM/rivrimouski_20240824125126.jpg;2024/08/24 10:04:48.958;"{""Bc""}";5;M;1;80;5;15;"{""RG""}";{62de60d7-2414-4f55-aa00-fbea3f8e1b21};Non;18.8066666666667;18,80666667;650;413,3333333;70;18806666,67;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Discontinu;;;;;1150;40;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
38;1;37;38;;;DCIM/rivrimouski_20240824125346.jpg;2024/08/24 10:04:48.958;"{""Bc""}";40;M;2;80;15;5;"{""RG""}";{0cd94701-a4ce-4492-a025-b8b2d11d9ed9};Non;146.37;146,37;2800;307,5;170;146370000;;;;0;;;;0;;;;0;;;;0;MC sl lp;;;;;;;240;50;360;580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
39;1;38;39;;;DCIM/rivrimouski_20240824142909.jpg;2024/08/24 10:04:48.958;"{""Pl""}";5;M;1;80;15;5;"{""RD""}";{24127ac7-1787-419a-a6f7-2d3fa3872e62};Non;17.394;17,394;1400;172,5;60;14490000;110;440;60;2904000;;;;0;;;;0;;;;0;MC sl lp;2;Y;;;;;260;120;200;110;;;30;50;100;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
40;1;39;40;;;DCIM/rivrimouski_20240824143527.jpg;2024/08/24 10:04:48.958;"{""Pl""}";5;M;1;80;15;5;"{""RD""}";{1537e735-b81e-49ae-bad9-f3be8d0c890c};Non;26.52;26,52;1300;170;120;26520000;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Discontinu;;;;;180;330;70;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
41;1;40;41;;;DCIM/rivrimouski_20240824144540.jpg;2024/08/24 10:04:48.958;"{""Pl""}";5;M;1;50;40;10;"{""RD""}";{deb3d6c3-783d-4fbc-b239-5ca4b1d225b8};Non;23.94;23,94;840;150;190;23940000;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Discontinu;;;;;50;370;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
42;1;41;42;;;DCIM/rivrimouski_20240824145543.jpg;2024/08/24 10:04:48.958;"{""Pl""}";5;P;1;60;10;30;"{""RD""}";{e15ca0cb-690b-4d8c-9a34-05acc2bec58b};Non;19.3013333333333;19,30133333;880;153,3333333;130;17541333,33;80;660;33,33333333;1760000;;;;0;;;;0;;;;0;MC sl lp;2;Discontinu;;;;;230;70;160;;;;60;20;20;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
43;1;42;43;;;DCIM/rivrimouski_20240824150635.jpg;2024/08/24 10:04:48.958;"{""Pl""}";5;M;1;70;15;15;"{""RD""}";{6cbe42cc-fdd8-45f2-8e1f-df5f37389bb8};Non;9.41;9,41;1300;87,5;40;4550000;90;600;90;4860000;;;;0;;;;0;;;;0;MC sl lp;2;T;;;;;40;80;130;100;;;130;60;80;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
44;1;43;44;;;DCIM/rivrimouski_20240824151928.jpg;2024/08/24 10:04:48.958;"{""Pl""}";10;D;3;70;10;20;"{""RD""}";{4b96c11c-5dd1-4f48-8319-2d8783e51b56};Non;117.048;117,048;450;140;200;12600000;480;680;320;104448000;;;;0;;;;0;;;;0;MC sl lp;2;L;;;;;140;140;140;;;;300;300;360;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
45;1;44;45;;;DCIM/rivrimouski_20240824152428.jpg;2024/08/24 10:04:48.958;"{""Pl""}";5;M;2;70;20;10;"{""RD""}";{934d0ad4-b860-41a7-b301-7c61d11163cf};Non;49.9146666666667;49,91466667;250;163,3333333;140;5716666,667;140;1540;205;44198000;;;;0;;;;0;;;;0;MC sl lp;2;Discontinu;;;;;220;160;110;;;;70;230;320;200;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
46;1;45;46;;;DCIM/rivrimouski_20240824153943.jpg;2024/08/24 10:04:48.958;"{""Pl""}";5;D;2;80;10;10;"{""RD""}";{41e1e1f9-bfad-467f-81f7-eb9d907e9698};Non;33.1875;33,1875;1770;187,5;100;33187500;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Simple;;;;;150;310;140;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
47;1;46;47;;;DCIM/rivrimouski_20240824155014.jpg;2024/08/24 10:04:48.958;"{""Pl""}";5;D;2;70;20;10;"{""RD""}";{3b3c065e-f24f-4ec7-b3ff-b8af034348f4};Non;154.81375;154,81375;1660;332,5;100;55195000;230;1650;262,5;99618750;;;;0;;;;0;;;;0;MC sl lp;2;Discontinu;;;;;300;500;390;140;;;240;360;320;130;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
48;1;47;48;;;DCIM/rivrimouski_20240824155737.jpg;2024/08/24 10:04:48.958;"{""Bc""}";5;M;1;85;10;5;"{""RD""}";{9e7b0c8e-6e6a-45f1-a985-9d5c7c155494};Non;1.149;1,149;950;20;15;285000;60;360;40;864000;;;;0;;;;0;;;;0;MC sl lp;2;T;;;;;15;15;30;20;;;40;30;50;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
49;1;48;49;;;DCIM/rivrimouski_20240824160125.jpg;2024/08/24 10:04:48.958;"{""Bc""}";5;P;2;60;30;10;"{""RD""}";{0a1f9f4f-25a2-42d4-b38a-29c75562fa6f};Non;24.765;24,765;1560;158,75;100;24765000;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Simple;;;;;80;115;150;290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
50;1;49;50;;;DCIM/rivrimouski_20240824160530.jpg;2024/08/24 10:04:48.958;"{""Bc""}";5;M;1;75;20;5;"{""RD""}";{3d16c9e2-a8b7-41fe-9927-3e6789467424};Non;24.57;24,57;1400;135;130;24570000;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Simple;;;;;100;170;60;210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
51;1;50;51;;;DCIM/rivrimouski_20240825094016.jpg;2024/08/24 10:04:48.958;"{""Ch""}";5;M;1;60;30;10;"{""RG""}";{5339ffa2-6df2-4ede-8cb3-27ffd5cdc0ac};Non;54;54;2000;180;150;54000000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;230;70;150;270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;8806;cp;2016;5;1000
52;1;51;52;;;DCIM/rivrimouski_20240825094458.jpg;2024/08/25 09:43:40.757;"{""Ch""}";5;P;1;60;35;5;"{""RG""}";{37d4569e-bc77-49ab-8d75-72f1790eeb3c};Non;43.35;43,35;1500;170;170;43350000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;250;70;230;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;8806;cp;2016;5;1000
53;1;52;53;;;DCIM/rivrimouski_20240825094929.jpg;2024/08/25 09:48:20.265;"{""Ch""}";5;M;1;70;20;10;"{""RG""}";{2e88f95e-64b2-464f-852d-780d2256034c};Non;35.5875;35,5875;1300;182,5;150;35587500;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;190;250;230;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;8806;cp;2016;5;1000
54;1;53;54;;;DCIM/rivrimouski_20240825095241.jpg;2024/08/25 09:51:17.849;"{""Pl""}";5;M;1;45;50;5;"{""RG""}";{e4e90b81-baa8-4a39-b40b-33dfbc6e9048};Non;23.92;23,92;520;200;230;23920000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;170;230;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;8806;cp;2016;5;1000
55;1;54;55;;;DCIM/rivrimouski_20240825095831.jpg;2024/08/25 09:56:43.814;"{""Ch""}";5;M;1;50;45;5;"{""RG""}";{b396b7b2-1ad0-4f0b-be23-7a3260500972};Non;62.985;62,985;1300;285;170;62985000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;180;210;400;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;8806;cp;2016;5;1000
56;1;55;56;;;DCIM/rivrimouski_20240825100437.jpg;2024/08/25 10:03:17.898;"{""Pl""}";;M;1;70;25;5;"{""RG""}";{60e5085e-541e-4541-925e-d2f521bc4b09};Non;20.5333333333333;20,53333333;550;233,3333333;160;20533333,33;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;230;220;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;8806;cp;2016;5;1500
57;1;56;57;;;DCIM/rivrimouski_20240825101226.jpg;2024/08/25 10:08:40.283;"{""Ch""}";5;M;1;65;30;5;"{""RG""}";{3f4cc00d-2cce-438c-b6a6-0fe7571b88e9};Non;73.248;73,248;380;236,6666667;130;11691333,33;120;550;40;2640000;250;700;336,6666667;58916666,67;;;;0;;;;0;MT LP;3;Discontinu;;;;;170;250;290;;;;50;40;30;;;;200;360;450;;;;;;;;;;;;;;;;;;;2;;;;8806;cp;2016;5;1500
