OBJECTID;Join_Count;TARGET_FID;fid_1;fid_12;ID_ebm;photo;date_suivi;position;obstruct_c;prov_bm;densite;comp_tronc;comp_branc;comp_racin;secteur;uuid;Complexe;Volume;Volume_Formule;longueur;largeur boîte 1;hauteur;Volume 1;longueur_2;hauteur_2;largeur boite 2;Volume 2;hauteur_3;longueur_3;largeur boite 3;Volume 3;hauteur_4;longueur_4;largeur boite 4;Volume 4;hauteur_5;longueur_5;largeur boite 5;Volume 5;Equipe;Nb_boites;Typologie;Commentair;Commenta_1;Commenta_2;Commenta_3;largeur_A;largeur_B;largeur_C;largeur_D;largeur_E;largeur_F;largeur_2_;largeur__1;largeur__2;largeur__3;largeur__4;largeur__5;largeur_3_;largeur__6;largeur__7;largeur__8;largeur__9;largeur_10;largeur_4_;largeur_11;largeur_12;largeur_13;largeur_14;largeur_15;largeur_5_;largeur_16;largeur_17;largeur_18;largeur_19;largeur_20;layer;path;Id;Input_FID;Id_1;ORIG_FID;Id_12;lenght;type;annee;troncon;Distance
11;1;10;306;;;DCIM/rivrimouski_20250724102608.jpg;2025/07/24 13:30:22.893;"{""Bc""}";1;P;1;50;25;25;"{""C""}";{040e050a-5f9c-40d9-a674-92452e9ad8a7};Non;2.668;2,67;1160;57,50;40;2668000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;30;50;50;100;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;3;;;;8806;cp;2016;5;2000
12;1;11;307;;;DCIM/rivrimouski_20250724103547.jpg;2025/07/24 13:30:22.893;"{""Bc""}";15;M;2;65;15;20;"{""C""}";{b7ac40ab-7060-47cf-96a6-aaf20e815a3b};Non;80.0835;80,08;2010;245,00;130;64018500;1700;60;157,50;16065000,00;;;;0;;;;0;;;;0;Sam et julianne;2;T;;;;;300;150;380;150;;;230;180;120;100;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;2;;;;8806;cp;2016;5;1500
13;1;12;308;;;DCIM/rivrimouski_20250724105105.jpg;2025/07/24 13:30:22.893;"{""Ch""}";5;M;2;80;10;10;"{""RD""}";{4d8f11ac-9497-4c09-b4ae-f69d09395782};Non;26.4;26,40;900;366,67;80;26400000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;390;400;310;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;3;;;;8806;cp;2016;5;2000
14;1;13;309;;;DCIM/rivrimouski_20250724105753.jpg;2025/07/24 13:30:22.893;"{""Ch""}";2;M;2;85;10;5;"{""RD""}";{df902ca3-9f86-44de-82d8-8257ae339bde};Non;11.628;11,63;1020;95,00;120;11628000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;40;60;240;40;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;4;;;;8806;cp;2016;5;2500
15;1;14;310;;;DCIM/rivrimouski_20250724110540.jpg;2025/07/24 13:30:22.893;"{""Ch""}";5;M;3;70;15;15;"{""RD""}";{d096f570-e8c6-4312-9b6f-324ef3545c69};Non;48.1270833333333;48,13;1000;353,33;130;45933333,33;2250;30;32,50;2193750,00;;;;0;;;;0;;;;0;Sam et julianne;2;Discontinu;;;;;380;320;360;;;;30;40;40;20;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;4;;;;8806;cp;2016;5;2500
16;1;15;311;;;DCIM/rivrimouski_20250724110855.jpg;2025/07/24 13:30:22.893;"{""Ch""}";1;M;2;50;35;15;"{""RD""}";{ce5e05d6-775a-470c-83ef-4e4fc241cb18};Non;35.462;35,46;1490;140,00;170;35462000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;;;;;;;190;240;90;40;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;4;;;;8806;cp;2016;5;2500
17;1;16;312;;;DCIM/rivrimouski_20250724111631.jpg;2025/07/24 13:30:22.893;"{""Ch""}";5;M;3;33;40;27;"{""RD""}";{be1b336e-647e-4e06-a6d4-51b0bd032355};Non;71.3125;71,31;1250;407,50;140;71312500;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;230;880;380;140;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;4;;;;8806;cp;2016;5;2500
18;1;17;313;;;DCIM/rivrimouski_20250724112707.jpg;2025/07/24 13:30:22.893;"{""Ch""}";8;M;3;45;35;20;"{""RD""}";{ce9ed9d2-a1b1-4ea6-9567-071fa8cdf086};Non;256.4688;256,47;1040;185,00;180;34632000;4360;240;212,00;221836800,00;;;;0;;;;0;;;;0;Sam et julianne;2;L;;;;;260;190;60;230;;;70;110;220;270;390;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;4;;;;8806;cp;2016;5;2500
19;1;18;314;;;DCIM/rivrimouski_20250724114525.jpg;2025/07/24 13:30:22.893;"{""Ch""}";1;M;3;33;33;34;"{""RD""}";{e915104c-4191-4b23-ba96-eedda0aa1add};Non;339.3115;339,31;5610;318,33;190;339311500;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;220;360;350;380;290;310;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;4;;;;8806;cp;2016;5;2500
20;1;19;315;;;DCIM/rivrimouski_20250724114659.jpg;2025/07/24 13:30:22.893;"{""Ch""}";3;M;3;20;50;30;"{""RD""}";{83bacc7f-0e84-4b5f-897f-48a7100fed5c};Non;944.86;944,86;3970;952,00;250;944860000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;;;;;;;310;510;1470;1310;1160;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;4;;;;8806;cp;2016;5;2500
21;1;20;316;;;DCIM/rivrimouski_20250724115833.jpg;2025/07/24 13:30:22.893;"{""Ch""}";40;D;2;40;35;25;"{""RD""}";{34a3c396-959f-4269-905a-64a1cdf3e6ee};Non;1653.0696;1653,07;3770;2436,00;180;1653069600;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;2990;2670;2470;2210;1840;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;4;;;;8806;cp;2016;5;2500
22;1;21;317;;;DCIM/rivrimouski_20250724121114.jpg;2025/07/24 13:30:22.893;"{""Ch""}";1;M;2;30;37;33;"{""RD""}";{ea138652-9ad7-4841-b006-92c778205e66};Non;45.144;45,14;1140;247,50;160;45144000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;100;340;390;160;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;5;;;;8806;cp;2016;5;3000
23;1;22;318;;;DCIM/rivrimouski_20250724121308.jpg;2025/07/24 13:30:22.893;"{""Ch""}";2;M;3;20;60;20;"{""RD""}";{199c460d-0a37-4f78-badc-487c88be99df};Non;22.977;22,98;1110;172,50;120;22977000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;60;180;90;360;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;5;;;;8806;cp;2016;5;3000
24;1;23;319;;;DCIM/rivrimouski_20250724122011.jpg;2025/07/24 13:30:22.893;"{""Ch""}";15;M;2;50;30;20;"{""RD""}";{1d46fbe0-d6e0-424e-9311-b8eeb280d624};Non;91.7145;91,71;2290;222,50;180;91714500;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;60;120;350;360;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;5;;;;8806;cp;2016;5;3000
25;1;24;320;;;DCIM/rivrimouski_20250724122413.jpg;2025/07/24 13:30:22.893;"{""Ch""}";1;D;1;10;70;20;"{""RD""}";{859712e7-2bbc-4429-945a-43db92c0ff3d};Non;4.4415;4,44;1260;117,50;30;4441500;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;30;110;110;220;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;5;;;;8806;cp;2016;5;3000
26;1;25;321;;;DCIM/rivrimouski_20250724122423.jpg;2025/07/24 13:30:22.893;"{""Ch""}";3;D;2;45;40;15;"{""RD""}";{0dfbf4a7-7a98-4ee9-8964-51d2d063d8d9};Non;40.482;40,48;1730;180,00;130;40482000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;80;210;190;240;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;5;;;;8806;cp;2016;5;3000
27;1;26;322;;;DCIM/rivrimouski_20250724122857.jpg;2025/07/24 13:30:22.893;"{""Ch""}";1;P;1;75;10;15;"{""RD""}";{dddd8452-78e5-4055-aeb7-96c72a8e2e0e};Non;6.075;6,08;1080;62,50;90;6075000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;100;80;40;30;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;6;;;;8806;cp;2016;5;3500
28;1;27;323;;;DCIM/rivrimouski_20250724123301.jpg;2025/07/24 13:30:22.893;"{""Ch""}";15;M;1;75;20;5;"{""RD""}";{0f51aabe-5442-4ea5-bd43-befc67ab7a70};Non;18.096;18,10;1040;145,00;120;18096000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;70;300;170;40;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;6;;;;8806;cp;2016;5;3500
29;1;28;324;;;DCIM/rivrimouski_20250724123656.jpg;2025/07/24 13:30:22.893;"{""Pl""}";1;D;2;20;70;10;"{""RD""}";{c31a8a1c-5a74-4015-b08b-98279ae31710};Non;30.7666666666667;30,77;500;236,67;260;30766666,67;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;230;220;260;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;6;;;;8806;cp;2016;5;3500
30;1;29;325;;;DCIM/rivrimouski_20250724124349.jpg;2025/07/24 13:30:22.893;"{""Ch""}";3;M;2;70;15;15;"{""RD""}";{d92c903f-ab50-4f72-8199-1b08c655ba54};Non;18.4525;18,45;1100;152,50;110;18452500;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;220;80;70;240;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;6;;;;8806;cp;2016;5;3500
31;1;30;326;;;DCIM/rivrimouski_20250724134450.jpg;2025/07/24 13:30:22.893;"{""Ch""}";5;D;2;90;5;5;"{""RD""}";{929e6a8d-610a-4e61-9a49-c411b6031b3b};Non;5.544;5,54;990;80,00;70;5544000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;20;20;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;7;;;;8806;cp;2016;5;4000
32;1;31;327;;;DCIM/rivrimouski_20250724134617.jpg;2025/07/24 13:30:22.893;"{""Ch""}";5;M;1;80;10;10;"{""RD""}";{41ccf3b0-ecca-4658-a483-8257fd8b6f77};Non;22.77;22,77;1800;115,00;110;22770000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;30;90;220;120;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;7;;;;8806;cp;2016;5;4000
33;1;32;328;;;DCIM/rivrimouski_20250724135435.jpg;2025/07/24 13:30:22.893;"{""Pl""}";5;D;1;85;5;10;"{""RD""}";{d8eda2f0-0a6a-48fa-9d0e-cb11f2cab939};Non;8.004;8,00;920;96,67;90;8004000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;130;90;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;7;;;;8806;cp;2016;5;4000
34;1;33;329;;;DCIM/rivrimouski_20250724135712.jpg;2025/07/24 13:30:22.893;"{""Pl""}";5;M;2;50;30;20;"{""RD""}";{fdfec194-c78f-4388-9bdb-a7a354aa37e3};Non;8.84;8,84;510;133,33;130;8840000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;250;80;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;7;;;;8806;cp;2016;5;4000
35;1;34;330;;;DCIM/rivrimouski_20250724135948.jpg;2025/07/24 13:30:22.893;"{""Ch""}";5;M;2;90;5;5;"{""RD""}";{6479cc74-3086-48fd-8e19-848139597aa6};Non;4.638375;4,64;1710;38,75;70;4638375;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;30;35;60;30;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;7;;;;8806;cp;2016;5;4000
36;1;35;331;;;DCIM/rivrimouski_20250724140514.jpg;2025/07/24 13:30:22.893;"{""Ch""}";5;M;3;60;20;20;"{""RD""}";{0b9c988f-2cb2-4290-8b15-65132df3f517};Non;480.225;480,23;3370;570,00;250;480225000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;300;490;670;670;720;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;7;;;;8806;cp;2016;5;4000
37;1;36;332;;;DCIM/rivrimouski_20250724141516.jpg;2025/07/24 13:30:22.893;"{""Ch""}";5;D;2;70;15;15;"{""RD""}";{1f7cce28-7744-4e14-9a86-2a6ad547a2de};Non;12.561;12,56;1060;197,50;60;12561000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;160;380;150;100;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;7;;;;8806;cp;2016;5;4000
38;1;37;333;;;DCIM/rivrimouski_20250724141844.jpg;2025/07/24 13:30:22.893;"{""Pl""}";5;D;2;60;25;15;"{""RD""}";{fb91cd37-1e8e-4bc3-b8e8-b1662c65e7cc};Non;3.96875;3,97;1270;62,50;50;3968750;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;70;80;90;10;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;7;;;;8806;cp;2016;5;4000
39;1;38;334;;;DCIM/rivrimouski_20250724142138.jpg;2025/07/24 13:30:22.893;"{""Pl""}";;M;2;45;35;20;"{""RD""}";{cbbebf4a-6c4a-4f92-a139-443348eb650b};Non;80.817;80,82;1580;232,50;220;80817000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;20;310;270;330;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;7;;;;8806;cp;2016;5;4000
40;1;39;335;;;DCIM/rivrimouski_20250724143402.jpg;2025/07/24 13:30:22.893;"{""Bc""}";45;M;2;40;30;30;"{""C""}";{4956f60b-b5b6-44b3-94e3-e43d6123b501};Non;3627.2995;3627,30;7210;2935,00;170;3597429500;1350;80;92,50;9990000,00;100;710;280;19880000;;;;0;;;;0;Sam et julianne;3;Discontinu;;;;;3570;3070;3500;3270;2000;2200;100;80;150;40;;;300;290;250;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;7;;;;8806;cp;2016;5;4000
